Item,Description,QTY,Units
"Materials","","",""
"     Absolute Acajou 3/4 WY160 PAN","     ","10","#"
"     CM Hardrock Maple 3/4 WF275 PRZ","     ","93","#"
"     CM Hardrock Maple 5/8 WF275 PRZ","     ","12","#"
"     Nizza Riviera Oak 3/4 K13 UNI","     ","10","#"
"     NONE","     ","2","#"
"     Roble Azabache 3/4 75V FIN","     ","10","#"
"     Stone Grey SM 3/4 U727 EGG","     ","4","#"
"     White SM Elegante 3/4 25931 ELG","     ","10","#"
"Inserts","","",""
"     Cabinet Accessories\32in White Kidney Susan on Pole","     ","6","#"
"Banding","","",""
"     .5mm Hardrock Maple WF275 PRZ","     ","324.49","Ft"
"     1mm Absolute Acajou WY160 PAN","     ","742.06","Ft"
"     1mm Nizza Riviera Oak K13 UNI","     ","742.06","Ft"
"     1mm Roble Azabache 75V FIN","     ","740.75","Ft"
"     1mm Stone Grey Supermatte U727 EGG","     ","410.17","Ft"
"     1mm White Supermatte 25931 ELG","     ","1105","Ft"
"Hinges","","",""
"     Blum 110 / 0mm - 71B358180","     ","262","#"
"     Blum 170 / 0mm - 71T658180","     ","24","#"
"     Blum 95 Blind / 0mm - 79B958180","     ","12","#"
"     Blum Bi-fold 60 / 0mm - 79T853180","     ","24","#"
"Guides","","",""
"     828400","     ","6","#"
"     828450","     ","18","#"
"     828550","     ","18","#"
"Shelf Pins","","",""
"Spacers","","",""
"     U58-Rich-RO Spacers","     ","24","#"
"Fasteners","","",""
"     Back Dowels Corners 1-4 V3","     ","192","#"
"     Back Dowels Corners 5-8 V3","     ","72","#"
"     Back Screws","     ","386","#"
"     Dowels (End to Back) 1-4 V3","     ","856","#"
"     Dowels (End to Back) 5-8 V3","     ","380","#"
"     Dowels 1-4 V3","     ","1424","#"
"     Dowels 5-8 V3","     ","228","#"
"     Dowels Corners 1-4 V3","     ","192","#"
"     Dowels Corners 5-8 V3","     ","24","#"
"Panel Fasteners","","",""
"     Leg Levelers","     ","179","#"
"     Leg Levelers - Corner Cabs","     ","6","#"
"     Leg Levelers - Partitions","     ","6","#"
