Show all Buttons and tooltip numbering?,FALSE,
Button Number,URL,Tooltip
1,,Introduction Video
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,Prod editor
77,,Prod Options
78,,Product viewer
79,,Scribe settings
80,,Edge band assignment
81,,Part shape editor
82,,part ops tab editor
83,,part banding tab editor
84,,Shape library
85,,DlgNum enter number
86,,DlgTextBox 
87,,Formula Parameters
88,,If Then 
89,,Stock Materials Library
90,,Horizontal Boring
91,,Tool path type
92,,Adjust part dlg
93,,Format Note Dialog
94,,Layers menu
95,,Auto molding
96,,Report Templates dialog
97,,Export Appdata
98,,Custom Parms main button
99,,parameter tab Cus Parms
100,,Product tab cus parms
101,,Parts cus parms
102,,Operation cus parms
103,,room - bath tab
104,,room - outlets tab
105,,room - Door tab
106,,room - appl tab
107,,room - Sink tab
108,,room - Window tab
109,,room - Twalls tab
110,,room - Walls tab
111,,room - Room tab
